name,danWei,danWei2,danWei3,danWei4,des,year,durYear,money,du,leiBie,leiBie2,ff,js,kj,kj2,bb,fzr,gg,djs,ly,jisu,jisu2,buf,fm,cgxs,zsxk
高性价比定向高温合金设计与制备关键技术研究,银河科学技术大学,[],[],[],研究服役损伤机制与显微组织结构演化机理。发展基于微结构动态分析表征的高性价比定向高温合金设计理论和方法，设计研发出可满足G级/H级中型燃机使用条件的系列涡轮叶片定向合金。基于设计合金成分特征设计定向铸造工艺，研究热场、定向凝固速度和温度梯度等工艺参数对元素分布及柱状晶形貌特征的影响，研究缺陷控制制备及组织优化技术。确立新型合金“成分-组织-加工制备-服役性能”之间的依存关系，建立新一代定向合金设计和制备技术规范。,2018,3,500,主要项目,特殊研究,特殊研究,高温合金设计研究，材料制备技术，智能制造系统，性能优化技术，应用开发策略,材料制备技术，智能制造系统，高效性能测试，应用开发策略，产业化方案,国家,美国,2,朱玉 18141578550,王静 ,玉梅县,土木,智能制造与高端装备,精密加工与设备,工业,十个方面二,研究报告,延期结项
快堆高韧抗辐照合金表面强化与耐蚀一体化关键技术,未来能源研究所,先锋工程学院,光谱研究大学,[],研究快堆组件钢和镍铁基合金高温渗铬固溶氮化强化耐蚀相形成机理及渗层性能，建立快堆合金热扩渗的热/动力学理论体系；研究稀土促渗及对微观组织、性能的调控机理，提出Cr2N相组织与合金晶粒尺寸、性能的协同控制策略，设计出表面强化耐蚀与抗冲击韧性一体化渗铬固溶氮化工艺；研究渗铬固溶氮化合金模拟快堆堆内环境相容性，建立快堆环境材料关键性能数据体系，实现快堆液钠环境材料寿命评估；开展动导管等大尺寸组件高温渗铬固溶氮化控形控性技术研究，实现示范应用。,2019,6,300,重点项目,自助,自助,抗辐照合金研究，表面强化技术，耐蚀技术开发，智能制造系统，性能优化方案,表面强化技术，智能制造系统，耐蚀技术优化，性能测试方法，高效生产流程,国家,英国,2,李秀梅 13641547198,张波 王婷 黄刚 王琳 ,淑英市,环境,智能制造与高端装备,精密加工与设备,工业,十个方面十,研究报告,已结项
人体友好型医用超声压电材料及电子元件,天域生物工程有限公司,[],[],[],以面向医用超声雾化、超声诊断为主等无铅压电换能器应用为导向，开发综合性能优异的无铅压电材料。研究掺杂改性、工艺等对陶瓷相界、缺陷以及显微结构影响规律，构建显微结构与宏微观压电性能之间的关系，实现压电材料多种优值参数的协同调控。开展无铅压换能器件设计、多目标优化与稳定可控制的批量生产技术研究，实现产业化应用。,2019,5,400,一般项目,自助,自助,医用材料研究，压电技术开发，智能设计方案，电子元件开发，性能优化技术,压电技术优化，智能设计方案，材料性能提升，应用开发策略，性能测试方法,国家,日本,2,黄洋 15565207581,刘楠 饶红 王雪 安磊 汪晶 ,婷婷县,机器人,智能制造与高端装备,精密加工与设备,工业,十个方面二,软件平台,未结项
面向成像诊疗技术的高性能射线探测材料与元件产业化关键技术,天域生物工程有限公司,[],[],[],研究高性能硫氧化钆闪烁陶瓷与阵列元件的制备技术，开发高质量GOS闪烁陶瓷制备工艺所涉及的系列单元技术，包括陶瓷材料组分设计、陶瓷粉体化学合成、陶瓷素坯热压烧结、陶瓷板材真空退火、阵列元件精细加工等。研究特大尺寸碘化钠闪烁单晶板材元件制备技术，开发特大尺寸碘化钠单晶的布里奇曼法生长工艺。,2018,3,300,一般项目,条件研究,条件研究二,射线探测材料研究，成像技术开发，产业化策略，智能制造系统，材料性能优化,成像技术优化，智能制造系统，高效材料开发，应用开发策略，性能测试技术,互联网,互联网三,1,毕宇 15689385958,杜桂花 尹利 姚桂荣 ,乌鲁木齐县,环境,智能制造与高端装备,精密加工与设备,社发,十个方面七,研究报告,已结项
疫苗等生物医药制剂用高性能膜材的研发及应用,智通未来技术公司,智通未来技术公司,天域生物工程有限公司,极限材料科技公司,针对新冠疫苗生产、免疫检测等对高性能膜材过滤精度、高纯低析出、选择性吸附、低毒和耐辐照等的要求，重点研究膜材基础原料合成制备、形态控制、提纯净化等关键技术，制膜配方、工艺及其对膜材结构、性能的影响，膜材的生物安全及其应用，开发膜材制备工程放大关键装备及过程控制。,2022,2,200,一般项目,管理研究,管理研究七,生物医药膜材研究，高性能材料开发，智能制造系统，应用开发策略，性能优化方案,膜材研发技术，智能制造系统，高效应用技术，生物技术优化，性能测试方法,互联网,互联网八,2,李楠 15862961749,张淑珍 宁宇 ,岩县,能源,医疗与民生,医药与健康技术,工业,十个方面四,学术论文,未结项
层状材料结构化学与功能探索,恒星数据科技公司,生物前沿研究院,[],[],开展层状碳/氮化物的高通量设计与物性预测研究，建立层状材料晶体学和基本物理化学性质数据库。开展层状碳/氮化物的合成策略与多尺度结构-物性表征研究，发展高温熔盐化学、多组元单晶生长、物理/化学气相沉积等关键合成技术，利用原子分辨电镜技术研究材料微结构，系统开展层状材料的基本物理性质、力学性质研究，深入开展层状材料在极端环境下（腐蚀、辐照、高温、高压等）的结构稳定性研究。开展层状碳/氮化物材料在安全核能、电化学储能、化工催化、自旋电子器件及量子等领域中的应用研究。构建层状碳/氮化物材料多元相图与基础物性数据库。,2023,3,1000,一般项目,条件研究,条件研究二,高通量设计 多尺度结构表征 熔盐化学 单晶生长 化学气相沉积,晶体学数据库构建 微结构研究 极端环境研究 应用研究 物理化学性质数据库,国家,日本,1,王文 18179071916,李强 何璐 ,峰县,环境,智能制造与高端装备,精密加工与设备,工业,十个方面二,发明专利,未结项
弹性应变传感器与弹性导线产业化关键技术研发,银河科学技术大学,生物前沿研究院,[],[],重点研究高探测精度、高回复率、耐疲劳、耐水洗的新型弹性应变传感材料与传感器的设计、制备、性能调控及其封装和规模化制备技术；重点研究低模量、高弹性、高电导率的弹性导电材料的微观结构设计、制备与导电接头封装技术，开发与纺织工艺兼容的多芯弹性导线，并实现其规模化制备；研究弹性应变传感器、弹性导线及控制电路在服装上的集成技术，开发用于人体运动参数监控的智能服装，形成产品示范应用。,2019,6,200,主要项目,系统研究,系统研究八,高探测精度设计 低模量材料研发 传感器封装 微观结构设计 智能服装集成,高探测精度材料 导电接头封装 多芯导线制备 传感器集成 智能服装应用,国家,巴西,3,吕海燕 15715290508,范健 马桂香 李凤英 周晨 李峰 ,秀英县,能源,智能制造与高端装备,精密加工与设备,工业,十个方面四,发明专利,未结项
果蝇幼虫运动控制机制启发的仿生软体机器人,生物前沿研究院,科锐创新科技有限公司,智能机器人研究所,[],针对软体机器人运动难以精准控制这一问题，通过模仿软体动物的运动行为控制的神经机制来解决。首先以非侵入方式同时观察果蝇幼虫运动行为和神经系统活性，结合完整的神经网络连接结构信息和行为同步的神经网络活动观察，提取软体运动控制的新方式，然后将其应用于构建生成模型以产生具有生理解释意义的神经元活动数据、肌肉活动和运动行为序列数据，进而使用该模型驱动仿生软体机器人模型产生逼真的软体运动行为，实现具有应用意义的软体机器人。,2021,6,200,一般项目,特殊研究,特殊研究,仿生机器人，生物启发设计，运动控制，智能材料，高效传感,智能控制系统，软体材料，高效传感器，运动算法，仿生设计,互联网,互联网七,3,陈秀英 15070480019,欧娟 郭俊 刘红 贾超 ,郑州县,生物,智能制造与高端装备,机器人技术,社发,十个方面九,学术论文,未结项
雷达相控阵天线多机器人协同智能装配系统研发,光谱研究大学,新星理工大学,深空探测研究中心,未来能源研究所,针对雷达相控阵天线智能装配领域，对模块电源、收发组件、辐射单元等天线组件“机器代人”自动化装配的需求，研究狭小空间影像/激光测量技术、送钉工装系统设计方法和自动螺钉锁紧装配工艺；研究激光/影像测量和工具中心点校准多维测量应用技术、计算误差新方法和高精度执行工装夹具设计；研究适应海量差异化零件智能装配的最优组合图像处理和数字孪生装配建模技术；研究多机器人协同装配动态产品数据管理和生产管理信息系统融合技术。突破基于机器视觉的狭小空间螺钉锁紧、基于多维测量实现高精度自动化装配、适应海量差异化零件的最优组合智能装配、机器人装配产品数据管理与生产管理信息系统融合等关键技术，解决目前狭小空间螺钉锁紧靠人工装配导致效率低、质量难控制，雷达组件装配精度远高于一般民用自动化装配要求，为达到天线总体最佳电性能装配时各辐射单元须优化排列组合，机器人装配各工序产品装配过程数据要与数字工厂生产管理系统信息融合等难题，研制满足用户需求的雷达相控阵天线组件多机器人协同装配线，开发国产化替代的样机和相关软件和数据库，开展工程化开发、应用示范和产业化推广，实现在航空航天等领域的推广应用。,2018,5,300,重点项目,系统研究,系统研究四,雷达技术，相控阵天线，多机器人系统，协同控制，智能装配,智能装配系统，多机器人协同控制，高效算法，精密制造，雷达技术,国家,印度,3,王丽娟 18069278576,曾秀珍 刘建 张志强 郑宇 黄平 ,辛集县,土木,智能制造与高端装备,机器人技术,社发,十个方面七,发明专利,已结项
高放射酸雾环境下涉核作业机器人,天域生物工程有限公司,生物前沿研究院,智通未来技术公司,天域生物工程有限公司,研究涉核作业机器人系统的基础材料、精密驱动与纯机械传动、综合误差辨识与补偿、无电子感知器件的高精度力感知以及异构主从臂精确力控等重大科学问题，突破机器人系统的耐高剂量辐射与耐酸洗技术、关节结构优化技术、机器人全齿轮机械传动结构刚度优化与精密控制技术、辐射环境下从臂无电子感知器件的高精度力反馈主从控制技术、重力与摩擦补偿技术等关键技术。,2021,3,1000,主要项目,特殊研究,特殊研究,核环境作业，机器人技术，耐辐射材料，远程控制，智能检测,智能检测系统，耐辐射技术，远程操作，高效控制，机器人技术,互联网,互联网二,3,黎欣 15277240187,鞠凯 玉莹 刘龙 邢旭 马玉兰 ,秀珍市,机器人,智能制造与高端装备,机器人技术,工业,十个方面九,研究报告,延期结项
面向航空发动机零部件加工的“互联网+” 智能机床关键技术研发与产业化,深空探测研究中心,天域生物工程有限公司,智通未来技术公司,天域生物工程有限公司,通过面向航空发动机复杂零部件的互联网+智能机床及其关键技术研发与产业化项目的实施，在基于大数据的智能机床整机方案布局设计技术，迁移学习的机床综合误差智能预测与补偿技术，机器视觉的复杂曲面加工质量评估与优化技术，“互联网+”智能机床关键性能数字孪生技术等方面取得突破，设计研发适用于航空发动机复杂零部件加工的高精度智能机床，提高航空发动机复杂零部件的加工精度、稳定性及加工效率。,2021,5,400,重点项目,使用研究,使用研究一,航空制造，智能机床，互联网技术，零部件加工，高效制造,智能制造系统，互联网技术，精密加工，高效制造，航空零部件,国家,印度,3,王亮 15192547321,屈丽 徐佳 徐燕 周鑫 唐凤英 ,淮安县,交通,智能制造与高端装备,精密加工与设备,社发,十个方面五,学术论文,未结项
多轴联动非球面超精密加工技术与装备,锐意智能系统公司,天域生物工程有限公司,恒星数据科技公司,[],研究浸轴对称非球面光学、自由曲面纳米磨削、超纳米精度插补等重大科学问题，突破全约束式油静压直线运动轴及油静压回转角度定位轴、超精密空气静压工件主轴、直线及回转运动需要的高性能直线电机及直驱DD电机、微加工用空气静压加工高速主轴、纳米加工工艺及专用CAM系统等关键技术。,2021,4,300,重点项目,管理研究,管理研究二,超精密加工，多轴联动技术，非球面加工，智能控制，高效制造,精密加工装备，多轴控制系统，高效制造技术，智能控制，非球面加工,互联网,互联网六,2,温玉英 13475845984,左淑英 李秀梅 ,楠市,农业,智能制造与高端装备,精密加工与设备,社发,十个方面九,软件平台,未结项
高速高精电主轴,智通未来技术公司,[],[],[],研究主轴电机的本体设计和驱动控制，以及电主轴的支撑、散热、润滑、高速旋转中的平衡等重大科学问题，突破高速电机与高频变流控制、内置脉冲编码器、高效润滑和冷却、高速轴承应用、自动换刀与高速刀具装卡等关键技术。开发电主轴的锥孔、电气安全、最大输出扭矩、温升、拉刀力、振动、噪声、刚度、几何精度、动态回转精度及动态热效应等标准规定的检测方法，以及可靠性试验与评定技术。大幅提高电主轴的静态、动态精度综合性能及可靠性、精度保持性、寿命等服役性能。开发出高精度、高转速、高可靠的机床电主轴，实现在高端数控机床中配套应用。,2022,5,1500,一般项目,特殊研究,特殊研究,高速电主轴，高精度控制，智能制造，动态平衡，高效加工,智能控制系统，高速电主轴，动态平衡技术，高效加工，精密制造,国家,巴西,1,孙秀英 15824599616,张鑫 邹萍 ,广州县,纳米,智能制造与高端装备,精密加工与设备,工业,十个方面三,研究报告,未结项
大功率齿轮箱数字孪生及智能运维关键技术研究及应用,环境科学与技术研究所,深空探测研究中心,[],[],（1）分析齿轮箱传动系统工况、润滑油膜对动力学特性的影响以及多参数耦合的综合动力学效应；提炼周期运动产生分叉直至进入混沌的触发条件和发展路径，提出抑制分叉、导引通向混沌的分叉序列至周期轨道的控制方法。（2）大功率齿轮箱振动噪声预估与主动控制方法分析齿轮箱系统的多约束工况，建立含齿轮箱系统声-结构耦合分析模型，运用声学有限元法构建符合真实工况的齿轮箱振动噪声分析预估模型。分析基于润滑油流变特性与润滑油膜挤压效应的时变啮合刚度及阻尼的变化规律。构建变频率变阻尼力的控制模型，进而提出新型跨模态渗透内共振耗能主动控制方法与技术。（3）大功率齿轮箱网络协同智能运维系统建立齿轮箱故障诊断数字孪生体模型，提取齿轮箱传动零部件故障特征相关算法研究。研究齿轮箱动力学传递特性及不同位置振动信号表征原理及传递规律，开发基于传统传递路径分析方法的加权正则化矩阵修正方法。建立齿轮箱多维数据在线感知、传递、云传输及诊断融合平台，开发多维监测数据特征提取及融合技术，提出齿轮箱智能运维方法。（4）大功率齿轮箱服役性能及残余寿命预测方法利用齿轮箱数字孪生体摩擦动力学模型，提取轮齿表面周期性非均匀分布的时变热力载荷，研究时变载荷工况下齿面摩擦学特性对齿面损伤演变规律的影响，进而评估齿轮箱传动系统性能退化及残余寿命。在实验验证的基础上，借助机器学习理论，构建基于复杂载荷工况与摩擦学特性的齿轮箱性能退化演变智能预测模型。,2023,4,200,一般项目,系统研究,系统研究三,数字孪生技术，齿轮箱设计，智能运维，故障预测，高效维护,数字孪生系统，智能运维，高效故障检测，预测维护，齿轮箱技术,国家,法国,1,施梅 14743273720,舒萍 ,北镇市,材料,智能制造与高端装备,精密加工与设备,社发,十个方面十,学术论文,延期结项
基于智能网联的工程机械智能电液控制系统关键技术与应用,环境科学与技术研究所,先锋工程学院,环境科学与技术研究所,[],针对工程机械自动、高效、安全作业的迫切需求，融合先进的嵌入式测量、自动控制、人工智能和工业物联网技术，构建多维度信息监测和柔性灵活驱动控制的智能电液控制系统，从感知、操控、决策到维护全面实现工程机械智能化。拟首先突破电液控制系统多源状态信息综合感知与管理技术，实现压力、温度、流量等多状态信息的精确感知、融合处理与集成传输。其次，研制多通讯接口、高运算速率的集成式控制器及其控制功能柔性配置软件，实现轨迹自动规划、精准定位控制、主动抑振、自主避障等智能化施工功能。再次，开发视觉/听觉感知的智能化远程操作平台与操控设备，实现环境/作业信息真实反馈、主从空间精确映射的远程遥操作。最后，建立电液控制系统风险评估与智能维护系统，实现工程机械智能施工中的故障诊断、风险评估、预测维护与应急决策。基于智能电液控制系统开发系列化智能作业、操控与诊断的控制软硬件，开展针对工程机械企业的实际痛点的产品开发、应用示范和产业化推广，实现在混凝土布料机等典型工程机械的应用。,2020,6,400,一般项目,使用研究,使用研究一,智能网联技术，电液控制系统，实时监控，数据处理优化，故障预测,智能控制系统，电液控制技术，高效算法开发，智能传感，实时监控,互联网,互联网一,1,张雪梅 14743727887,赵想 鞠浩 王飞 刘平 林秀珍 ,春梅县,能源,智能制造与高端装备,精密加工与设备,社发,十个方面五,软件平台,延期结项
高海拔高可靠智能水电机组研发及应用示范,锐意智能系统公司,锐意智能系统公司,[],[],（1）宽域运行下高水头、高转速水轮机流-固多场耦合全流道多参数优化设计；（2）转轮、蜗壳、导叶等高承压部件动刚度和动强度优化及抗振动和抗疲劳设计；（3）低气压高电压下发电机磁-热-流-固多场耦合多参数优化设计；（4）转轮、导叶等高承压部件特厚不锈钢铸造工艺及其防裂纹控变形的焊接和热处理工艺研究；（5）高海拔智能水电机组可靠性分析与设计和复杂时变环境下智能故障预测与健康管理方法；（6）高可靠智能水电机组在西藏3000米以上高海拔地区示范应用。,2021,4,200,重点项目,自助,自助,高海拔技术，智能水电机组，可靠性设计，智能监控，高效发电,智能控制系统，高可靠性技术，高海拔技术，高效发电，智能监控,国家,日本,2,萧婷 13499164757,蒋辉 黎琴 夏鹏 ,坤县,空间,智能制造与高端装备,精密加工与设备,社发,十个方面六,发明专利,延期结项
针织纬编全成型关键技术研发及智能装备产业化,生物前沿研究院,[],[],[],围绕无缝内衣机、体/口一体缝合袜机以及“织可穿”针织横机，攻关高可靠性动态出针方法与机构、无缝适体织物成型机理与工作专家系统，多头并发织针动作数字化控制与监测系统以及智能化的装备健康状态辨识和网络化制造系统等关键技术等全成型工艺、技术与装备的关键技术，持续提升成圈机构执行效率和单机装备智能化运行水平。,2023,2,200,一般项目,管理研究,管理研究五,针织技术，全成型设计，智能装备，高效制造，自动控制,全成型技术，智能装备，自动控制系统，高效制造，针织工艺,互联网,互联网六,2,蔡建军 18874660460,钟慧 林秀云 宋龙 ,英县,纳米,智能制造与高端装备,精密加工与设备,工业,十个方面六,软件平台,延期结项
超高扬程大功率LNG泵关键技术研究及国产化,天际大学,量子创新研究所,极限材料科技公司,先锋工程学院,通过研究低温工况下的全工况全流场全尺度内部复杂流动机理和非定常流体激励转子动力特性，突破流体动力设计技术、转子动力系统设计技术和流致失效防控技术，形成高可靠性LNG泵融合设计方法，研制出增压10MPa和功率1000kW以上的LNG泵，实现在沿海液化气接收站的示范应用和进口替代，为沿海液化气接收站和管网系统建设运行提供自主可控技术支撑。,2019,5,300,一般项目,特殊研究,特殊研究,LNG泵设计，高扬程技术，大功率泵，国产化，高效传输,高扬程技术，大功率泵设计，国产化技术，高效传输，LNG泵,互联网,互联网九,2,刘莹 15068545009,陈秀兰 王军 张桂荣 杨波 邓娟 ,武汉县,机器人,智能制造与高端装备,精密加工与设备,工业,十个方面七,软件平台,已结项
高效低温等离子激励关键技术的研究及其在冷链消杀的应用示范,量子创新研究所,银河科学技术大学,深空探测研究中心,新星理工大学,研究优化高效低温等离子激励机制，并获取一系列核心技术参数，结合碳基纳米材料和新型压电陶瓷器件的进展，完善电极结构的微纳米处理技术，实现低能高效、无次生污染的等离子生成技术；系统研究频率、功率与准分子气体组分、气压的对应关系，结合射频聚焦技术，制备小型射频聚焦器，实现低温等离子在射频聚焦器内的共振激励，制成小型化、高强度、长寿命的222纳米紫外点光源；结合低温等离子和222纳米紫外线消杀的各自优势，研究和数值模拟等离子生成源和紫外光源的布控对低温等离子和紫外光强在空间分布的影响，实现物理消杀技术与冷链的集成；研发等离子浓度、紫外光强、温度、湿度等敏感参数的智能化实时监测系统，优化冷链预处理以及物流环节的消杀流程，制成绿色环保、多技术协同、流程优化、全面消杀的智能化高效冷链物理消杀装备。,2019,3,200,一般项目,使用研究,使用研究三,等离子激励技术，低温处理，冷链消杀，智能控制，高效消毒,等离子技术，低温处理系统，智能控制，高效消毒，冷链应用,互联网,互联网三,1,孙桂芝 13591401813,李健 易磊 白博 孔梅 ,贵阳市,交通,智能制造与高端装备,精密加工与设备,工业,十个方面二,发明专利,延期结项
基于工业互联网的大型机泵系统全生命周期智慧管控关键技术及应用示范,智通未来技术公司,[],[],[],"针对流程工业中大型机泵系统全生命周期的安全与高效运行问题，支撑流程工业绿色低碳与智能制造，突破设备参数智能感知、异构数据采集与网络传输、机泵系统工业互联网平台集成、多尺度多维度运行模型构建、设备运行状态分析优化、设备故障诊断与预测、关键部件寿命预测、系统能效分析与节能优化等关键技术，研发自主可控的大型机泵系统智慧管控工业互联网平台, 开展工程化开发、应用示范和产业化推广，实现大型机泵系统的智能感知、智慧运行、智慧管理、智慧维保等一站式集成应用服务，推进大型机泵系统的节能低碳及数智化，助力流程工业数字化及高质量发展。",2016,5,300,一般项目,自助,自助,工业互联网，机泵系统，全生命周期管理，智慧管控，高效维护,智慧管控系统，工业互联网技术，全生命周期管理，高效维护，机泵系统,国家,法国,2,卢丽丽 13823943540,隋坤 刘海燕 邓坤 徐雷 ,北京县,医疗,智能制造与高端装备,精密加工与设备,工业,十个方面九,学术论文,延期结项
超高功率光纤激光发生器及焊接系统,新星理工大学,[],[],[],研究光纤高功率输出时的非线性效应、热效应和光纤损伤，光子暗化（PD）、受激拉曼散射（SRS）/受激布里渊散射(SBS)和横向模式不稳定（TMI）等非线性耦合模型及抑制机理与工艺，激光焊接工艺参数与焊接性能关系模型等198光功率数字控制、激光发生器轻量化设计、高性能能激光加工工艺等关键技术。研制出泵源、泵浦合束器、能量合束器、光纤光栅、激光输出头、隔离器、剥模器等高功率核心光学器件，开发出超功率激光发生器，实现在机器人激光焊接、切割等应用。,2019,5,300,重点项目,管理研究,管理研究二,光纤激光技术，超高功率设计，智能控制，焊接系统，高效加工,光纤激光技术，超高功率激光器，智能控制，焊接系统，高效加工,国家,印度,1,李玉梅 18137102817,傅明 朱涛 吴红梅 杨冬梅 ,荣市,机器人,智能制造与高端装备,精密加工与设备,工业,十个方面九,软件平台,未结项
全成型电脑横机装备研发,新星理工大学,银河科学技术大学,新星理工大学,智能机器人研究所,研究立体织物组织结构调控、并发织针驱动方法、柔性纤维应力传播特性等基础科学问题，突破无缝编织工艺和专家制版系统，工艺适配的动态编织机构，数字化控制与监测系统和网络化制造系统等关键技术，自主研发全成型横机在机构执行效率和国外机型相当，在工艺解析、订单派发以及综合效率等方面优于国外机型，实现产业化推广。,2016,3,1500,重点项目,使用研究,使用研究三,电脑横机，全成型设计，智能装备，高效制造，自动控制,全成型技术，智能装备，自动控制系统，高效制造，电脑横机,互联网,互联网八,1,赵瑜 18889443232,洪健 ,玉梅市,生物,智能制造与高端装备,精密加工与设备,社发,十个方面九,学术论文,未结项
三维编织复合材料织造工艺-构件性能-加工装备关键技术研究及应用,深空探测研究中心,生物前沿研究院,[],[],研究编织过程中脆性纤维损伤失效行为机理，全三维编织增强体结构对构件力学性能影响规律以及镜面反射效应干扰下的纤维取向精确辨识等基础科学问题，突破高性能脆性纤维低损织造工艺，高疲劳/冲击损伤容限织物编织结构设计方法和立体编织物几何外形与表面纤维取向协同测量技术等关键瓶颈；开发加工-检测一体化的碳纤维编织机成套设备，并在轻量化汽车、航空结构件等领域实现应用。,2022,2,1000,主要项目,特殊研究,特殊研究,三维编织技术，复合材料设计，构件性能优化，加工装备，高效制造,三维编织技术，复合材料开发，性能优化，加工装备，高效制造,互联网,互联网八,3,侯旭 14526078852,丁桂兰 ,拉萨市,机器人,智能制造与高端装备,精密加工与设备,社发,十个方面七,发明专利,已结项
高强度超声换能器研制及高强度声场检测关键技术研究,锐意智能系统公司,新星理工大学,先锋工程学院,天际大学,开展具有自主知识产权的超声水听器研制、高功率超声设备计量测试、测温系统的研究及研制工作。主要包括超声场校准用PVDF薄膜标准水听器、耐高声强探针水听器研制、超水声声场校准装置研制，热释电测温原理与计算方法研究、热释电传感器研制、超声测温装置研制以及不确定度分析研究。（1）研制超声标准水听器、高强度超声水听器。利用压电薄膜（PVDF）材料开展标准水听器、耐高强度标准水听器的研制工作，并应用研制的水听器开展超声计量方法研究，完善我国超声计量溯源体系。（2）建立高功率超声设备测试系统。在研制耐高声强水听器的基础上，开展对高强度超声声压幅度、冲击波声压波形、声强分布等声学参量的检测技术研究工作，开发高功率超声测量系统，研制完成高强度超声设备的计量校准装置、传递标准和现场校准设备，实现对高功率超声设备的日常性能检测。（3）设计高强度超声设备温度场测量系统。开展对压电膜片的热释电效应的研究工作，利用压电膜片研制出温度分布测量系统，实现对超声设备、特别是高强度超声设备所产生的温度场的精确测量，填补高强度超声测温的国内空白。,2016,3,1200,主要项目,系统研究,系统研究一,超声换能器设计，高强度声场，智能检测，高效传感，材料优化,超声换能器技术，高强度声场检测，智能检测系统，高效传感，材料优化,互联网,互联网四,2,宋丽 13186889816,周英 杨燕 包云 章飞 张梅 ,凤兰市,能源,智能制造与高端装备,精密加工与设备,工业,十个方面六,发明专利,未结项
全自动单分子数字荧光基因检测系统,未来能源研究所,[],[],[],针对国产数字 PCR 自动化程度低、指标单一、通量低、检测成本高的难题，研究无串扰多荧光通道、光路均一性、超高分辨率图像采集等重大科学问题，突破精确压力控制技术、快速升降温技术等关键技术难题，开发从样本处理到反应体系配制及芯片加样的全自动数字PCR体系构建系统、全自动多通道数字 PCR 检测分析系统，实现高水平数字PCR系统及检测平台。①全自动数字PCR的样本核酸纯化、反应液混合、液滴生成、芯片扩增、荧光扫描等核心功能硬件研发与多技术集成，包括：精准的压力与温度控制技术；高效激发的光路设计与光路均一性技术；微米级超高分辨率成像技术；满足不同波长荧光成像的焦距兼容技术；实现七色荧光检测通道的防串扰滤光片组选型；多组功能部件的系统集成技术。②系统控制、图像分析及报告生成软件的研发，包括：机器自主学习算法优化技术；微滴快速识别与定位技术；荧光串扰与光路均一矫正技术；芯片无效反应微滴识别技术；低拷贝阈值划分技术等。③微流控芯片配套活性剂与油相开发、液滴生成参数优化，包括：微米级流道结构设计与制备技术；关键活性剂研发与油包水乳化技术；微液滴快速生成及其热稳定技术；微流控芯片量产与质量控制技术等。,2016,6,500,一般项目,条件研究,条件研究二,单分子检测，数字荧光技术，基因检测，智能控制，高效分析,数字荧光技术，单分子检测，基因检测系统，智能控制，高效分析,国家,俄罗斯,1,邹鑫 13631170547,胡雪梅 沈刚 宋桂英 徐洋 童云 ,昆明县,机器人,智能制造与高端装备,精密加工与设备,工业,十个方面三,学术论文,未结项
高通量毛细管电泳分析系统,量子创新研究所,[],[],[],研究毛细管电泳对蛋白核酸的高效、高通量分离检测重大科学问题，突破芯片设计制造、高灵敏成像检测、毛细管涂层介质等关键技术。到2023年初开发出高通量芯片式毛细管电泳仪，实现在蛋白、核酸质量分析检测方面的应用并产业化。关键技术指标达到国外同类产品（安捷伦2100生物分析仪、铂金埃尔默LabChip GXII Touch）水平，达到世界先进水平。,2017,5,200,重点项目,条件研究,条件研究二,毛细管电泳，高通量分析，智能控制，数据处理，高效检测,毛细管电泳技术，高通量分析系统，智能控制，数据处理，高效检测,国家,俄罗斯,2,周淑英 15604987061,张秀梅 费兵 李丽华 钟秀兰 ,淑珍县,生物,智能制造与高端装备,精密加工与设备,社发,十个方面三,研究报告,延期结项
面向临床精准诊断的超高效液相色谱-三重四极杆质谱联用分析仪,量子创新研究所,[],[],[],研究三重四极质量分析、高效离子传输、临床标志物质谱分析等重大科学问题，突破高效离子传输技术、多极杆碰撞反应池技术、复杂样品全自动处理技术等关键技术。预计到2021年12月，完成原型机功能和性能的测试验证。到2022年12月，完成仪器系统测试，性能达到预期指标。到2023年开发出具有自主知识产权、质量稳定可靠、核心部件国产化的临床诊断专用超高效液相色谱-三重四极杆质谱联用分析仪，实现在临床诊断领域中的应用。关键技术指标达到国外同类产品（SCIEX 5500 Qtrap）水平（国内领先、国际先进水平）。,2019,5,1000,主要项目,管理研究,管理研究五,液相色谱，高效分析，质谱技术，精准诊断，智能控制,液相色谱技术，质谱分析，精准诊断系统，智能控制，高效数据处理,国家,日本,1,贾帆 13334432002,郝秀梅 胥琳 王华 ,阜新县,空间,智能制造与高端装备,精密加工与设备,社发,十个方面十,软件平台,已结项
